Property Type,Listing Status,Building Size(sq. m),Year Built,Bedrooms,Bathrooms,Num Floors,City,State,ZIP Code,USD Price
House,Active,363.44,2020.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"849,000"
House,Pending,132.39,2024.0,5.0,3.0,0.0,Alexandria,North Dakota,56308.0,"490,260"
House,Pending,252.23,2024.0,5.0,3.0,0.0,Alexandria,North Dakota,56308.0,"459,900"
House,Active,586.22,2011.0,5.0,6.0,0.0,Sturgis,North Dakota,57785.0,"1,899,000"
House,Active,198.44,2006.0,2.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"539,900"
House,Active,173.17,2021.0,4.0,2.0,0.0,Rapid City,North Dakota,57701.0,"418,900"
House,Active,262.73,2004.0,3.0,3.0,1.0,Miltona,North Dakota,56354.0,"270,000"
House,Active,92.72,1971.0,2.0,2.0,0.0,Alexandria,North Dakota,56308.0,"229,900"
House,Active,323.67,1995.0,5.0,4.0,0.0,Bemidji,North Dakota,56601.0,"549,900"
House,Active,61.32,2013.0,1.0,1.0,0.0,Alexandria,North Dakota,56308.0,"148,000"
House,Active,493.32,1910.0,5.0,5.0,0.0,Spearfish,North Dakota,57783.0,"1,489,000"
House,Active,396.51,2018.0,5.0,4.0,0.0,Alexandria,North Dakota,56308.0,"898,500"
House,Active,408.77,1991.0,5.0,4.0,1.5,Spearfish,North Dakota,57783.0,"3,400,000"
House,Active,213.12,2024.0,5.0,3.0,0.0,Rapid City,North Dakota,57701.0,"464,000"
House,Active,193.98,1998.0,4.0,2.0,0.0,Nevis,North Dakota,56467.0,"429,000"
House,Active,105.07,1962.0,2.0,2.0,0.0,Alexandria,North Dakota,56308.0,"565,000"
Townhouse,Active,286.61,2015.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"548,500"
House,Active,79.34,1910.0,2.0,1.0,0.0,Bemidji,North Dakota,56601.0,"85,000"
House,Active,206.8,2006.0,4.0,3.0,0.0,Parkers Prairie,North Dakota,56361.0,"475,000"
House,Active,255.85,1989.0,4.0,2.0,0.0,Alexandria,North Dakota,56308.0,"419,900"
House,Active,492.85,1993.0,5.0,6.0,0.0,Park Rapids,North Dakota,56470.0,"2,499,900"
Townhouse,Active,148.64,2023.0,3.0,2.0,0.0,Piedmont,North Dakota,57769.0,"459,900"
House,Active,225.94,2008.0,3.0,3.0,0.0,Rapid City,North Dakota,57701.0,"541,000"
House,Active,319.59,1996.0,5.0,3.0,0.0,Piedmont,North Dakota,57769.0,"1,183,000"
House,Pending,44.22,1920.0,1.0,1.0,0.0,Bemidji,North Dakota,56601.0,"38,500"
House,Active,427.45,2000.0,4.0,5.0,0.0,Nevis,North Dakota,56467.0,"1,249,900"
House,Pending,217.39,1991.0,3.0,3.0,0.0,Appleton,North Dakota,56208.0,"259,000"
House,Active,473.16,2016.0,6.0,6.0,0.0,Sturgis,North Dakota,57785.0,"2,100,000"
House,Active,473.16,2016.0,6.0,7.0,0.0,Sturgis,North Dakota,57785.0,"2,100,000"
House,Active,275.18,2012.0,5.0,4.0,0.0,Spearfish,North Dakota,57783.0,"789,000"
House,Active,161.28,1991.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"499,000"
House,Active,566.34,2007.0,4.0,5.0,0.0,Spearfish,North Dakota,57783.0,"995,000"
House,Active,340.4,2001.0,4.0,3.0,0.0,Sturgis,North Dakota,57785.0,"1,595,000"
House,Active,135.27,2006.0,3.0,4.0,0.0,Piedmont,North Dakota,57769.0,"899,995"
House,Active,316.33,1996.0,5.0,4.0,0.0,Alexandria,North Dakota,56308.0,"499,000"
House,Pending,235.32,1997.0,3.0,3.0,0.0,Alexandria,North Dakota,56308.0,"699,900"
House,Pending,46.45,1966.0,2.0,1.0,0.0,Nevis,North Dakota,56467.0,"349,900"
House,Active,288.84,1992.0,5.0,4.0,0.0,Alexandria,North Dakota,56308.0,"749,900"
House,Active,180.42,2014.0,3.0,2.0,0.0,Piedmont,North Dakota,57769.0,"729,999"
House,Pending,317.54,2003.0,4.0,4.0,0.0,Alexandria,North Dakota,56308.0,"599,900"
House,Pending,275.36,1973.0,5.0,2.0,0.0,Alexandria,North Dakota,56308.0,"349,000"
House,Active,275.09,1997.0,4.0,3.0,0.0,Miltona,North Dakota,56354.0,"497,000"
House,Active,382.2,1992.0,5.0,4.0,0.0,Spearfish,North Dakota,57783.0,"899,900"
House,Active,224.92,1978.0,5.0,3.0,0.0,Appleton,North Dakota,56208.0,"282,000"
House,Active,433.3,2002.0,4.0,4.0,0.0,Sturgis,North Dakota,57785.0,"1,999,900"
House,Pending,74.14,1949.0,3.0,1.0,0.0,Alexandria,North Dakota,56308.0,"335,000"
House,Active,106.37,1905.0,3.0,1.0,0.0,Appleton,North Dakota,56208.0,"72,000"
House,Active,394.93,2010.0,6.0,6.0,0.0,Miltona,North Dakota,56354.0,"1,280,000"
House,Active,137.5,1890.0,3.0,2.0,0.0,Appleton,North Dakota,56208.0,"59,900"
